uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
ES,PNEUMONIA,HOSPITAL,"< 9",F,7
ES,PNEUMONIA,HOSPITAL,"< 9",M,5
ES,SEPTICEMIA,HOSPITAL,"< 9",F,17
ES,SEPTICEMIA,HOSPITAL,"< 9",M,35
ES,SRAG,HOSPITAL,"< 9",M,1
GO,OUTRAS,DOMICILIO,"< 9",F,3
GO,OUTRAS,DOMICILIO,"< 9",M,4
GO,OUTRAS,HOSPITAL,"< 9",F,38
GO,OUTRAS,HOSPITAL,"< 9",I,1
GO,OUTRAS,HOSPITAL,"< 9",M,37
GO,OUTRAS,IGNORADO,"< 9",F,1
GO,OUTRAS,IGNORADO,"< 9",M,1
GO,OUTRAS,OUTRO,"< 9",M,2
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,2
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,4
GO,OUTRAS,VIA_PUBLICA,"< 9",F,1
GO,COVID,HOSPITAL,"< 9",F,2
GO,COVID,HOSPITAL,"< 9",M,1
GO,COVID,OUTRO,"< 9",M,1
GO,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,1
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,10
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,20
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
GO,PNEUMONIA,HOSPITAL,"< 9",F,7
GO,PNEUMONIA,HOSPITAL,"< 9",M,2
GO,PNEUMONIA,IGNORADO,"< 9",F,1
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
GO,SEPTICEMIA,HOSPITAL,"< 9",F,22
GO,SEPTICEMIA,HOSPITAL,"< 9",M,39
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
GO,SRAG,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MA,OUTRAS,DOMICILIO,"< 9",F,4
MA,OUTRAS,DOMICILIO,"< 9",M,3
MA,OUTRAS,HOSPITAL,"< 9",F,45
MA,OUTRAS,HOSPITAL,"< 9",I,1
MA,OUTRAS,HOSPITAL,"< 9",M,58
MA,OUTRAS,OUTRO,"< 9",F,4
MA,OUTRAS,OUTRO,"< 9",M,1
MA,OUTRAS,VIA_PUBLICA,"< 9",F,1
MA,OUTRAS,VIA_PUBLICA,"< 9",M,3
MA,COVID,HOSPITAL,"< 9",F,2
MA,COVID,HOSPITAL,"< 9",M,4
MA,INDETERMINADA,HOSPITAL,"< 9",F,1
MA,INDETERMINADA,HOSPITAL,"< 9",M,1
MA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,6
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,11
MA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
MA,PNEUMONIA,DOMICILIO,"< 9",M,2
MA,PNEUMONIA,HOSPITAL,"< 9",F,5
MA,PNEUMONIA,HOSPITAL,"< 9",M,6
MA,SEPTICEMIA,HOSPITAL,"< 9",F,18
MA,SEPTICEMIA,HOSPITAL,"< 9",M,8
MA,SRAG,HOSPITAL,"< 9",F,2
MA,SRAG,HOSPITAL,"< 9",M,1
MA,SRAG,OUTRO,"< 9",M,1
MG,OUTRAS,DOMICILIO,"< 9",F,14
MG,OUTRAS,DOMICILIO,"< 9",M,9
MG,OUTRAS,HOSPITAL,"< 9",F,162
MG,OUTRAS,HOSPITAL,"< 9",I,3
MG,OUTRAS,HOSPITAL,"< 9",M,191
MG,OUTRAS,IGNORADO,"< 9",F,5
MG,OUTRAS,IGNORADO,"< 9",M,8
MG,OUTRAS,OUTRO,"< 9",F,1
MG,OUTRAS,OUTRO,"< 9",M,3
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,4
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,11
MG,OUTRAS,VIA_PUBLICA,"< 9",F,1
MG,OUTRAS,VIA_PUBLICA,"< 9",M,2
MG,COVID,HOSPITAL,"< 9",F,7
MG,COVID,HOSPITAL,"< 9",M,6
MG,INDETERMINADA,DOMICILIO,"< 9",M,1
MG,INDETERMINADA,HOSPITAL,"< 9",F,6
MG,INDETERMINADA,HOSPITAL,"< 9",M,6
MG,INDETERMINADA,OUTRO,"< 9",F,1
MG,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,24
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,41
MG,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,1
MG,PNEUMONIA,HOSPITAL,"< 9",F,15
MG,PNEUMONIA,HOSPITAL,"< 9",M,10
MG,PNEUMONIA,IGNORADO,"< 9",F,1
MG,PNEUMONIA,IGNORADO,"< 9",M,1
MG,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MG,SEPTICEMIA,HOSPITAL,"< 9",F,75
MG,SEPTICEMIA,HOSPITAL,"< 9",M,88
MG,SEPTICEMIA,IGNORADO,"< 9",F,4
MG,SEPTICEMIA,IGNORADO,"< 9",M,2
MG,SEPTICEMIA,OUTRO,"< 9",F,1
MG,SRAG,HOSPITAL,"< 9",F,2
MS,OUTRAS,DOMICILIO,"< 9",F,7
MS,OUTRAS,DOMICILIO,"< 9",M,2
MS,OUTRAS,HOSPITAL,"< 9",F,54
MS,OUTRAS,HOSPITAL,"< 9",M,53
MS,OUTRAS,OUTRO,"< 9",F,1
MS,OUTRAS,POSTO_SAUDE,"< 9",F,1
MS,OUTRAS,VIA_PUBLICA,"< 9",M,2
MS,COVID,HOSPITAL,"< 9",F,2
MS,COVID,HOSPITAL,"< 9",M,1
MS,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,2
MS,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,8
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,9
MS,PNEUMONIA,HOSPITAL,"< 9",F,5
MS,PNEUMONIA,HOSPITAL,"< 9",M,7
MS,SEPTICEMIA,HOSPITAL,"< 9",F,10
MS,SEPTICEMIA,HOSPITAL,"< 9",M,9
MT,OUTRAS,DOMICILIO,"< 9",F,2
MT,OUTRAS,DOMICILIO,"< 9",M,1
MT,OUTRAS,HOSPITAL,"< 9",F,27
MT,OUTRAS,HOSPITAL,"< 9",M,33
MT,OUTRAS,IGNORADO,"< 9",F,10
MT,OUTRAS,IGNORADO,"< 9",M,12
MT,OUTRAS,OUTRO,"< 9",F,3
MT,OUTRAS,OUTRO,"< 9",M,5
MT,COVID,HOSPITAL,"< 9",F,1
MT,COVID,HOSPITAL,"< 9",M,1
MT,COVID,IGNORADO,"< 9",F,1
MT,INDETERMINADA,IGNORADO,"< 9",M,2
MT,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,6
MT,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,7
MT,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,3
MT,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,7
MT,PNEUMONIA,HOSPITAL,"< 9",F,2
MT,PNEUMONIA,HOSPITAL,"< 9",M,3
MT,PNEUMONIA,IGNORADO,"< 9",F,2
MT,PNEUMONIA,IGNORADO,"< 9",M,3
MT,SEPTICEMIA,HOSPITAL,"< 9",F,12
MT,SEPTICEMIA,HOSPITAL,"< 9",M,14
MT,SEPTICEMIA,IGNORADO,"< 9",F,14
MT,SEPTICEMIA,IGNORADO,"< 9",M,9
MT,SEPTICEMIA,OUTRO,"< 9",F,1
PA,OUTRAS,DOMICILIO,"< 9",F,5
PA,OUTRAS,DOMICILIO,"< 9",M,4
PA,OUTRAS,HOSPITAL,"< 9",F,44
PA,OUTRAS,HOSPITAL,"< 9",I,2
PA,OUTRAS,HOSPITAL,"< 9",M,60
PA,OUTRAS,OUTRO,"< 9",F,4
PA,OUTRAS,OUTRO,"< 9",M,5
PA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,2
PA,OUTRAS,VIA_PUBLICA,"< 9",F,2
PA,OUTRAS,VIA_PUBLICA,"< 9",M,1
PA,COVID,HOSPITAL,"< 9",F,1
PA,COVID,HOSPITAL,"< 9",M,2
PA,COVID,OUTRO,"< 9",F,1
PA,COVID,OUTROS_SERVICOS_SAUDE,"< 9",M,1
PA,INDETERMINADA,DOMICILIO,"< 9",F,1
PA,INDETERMINADA,HOSPITAL,"< 9",M,2
PA,INDETERMINADA,VIA_PUBLICA,"< 9",M,1
PA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,12
PA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,18
PA,PNEUMONIA,DOMICILIO,"< 9",M,1
PA,PNEUMONIA,HOSPITAL,"< 9",F,7
PA,PNEUMONIA,HOSPITAL,"< 9",M,15
PA,SEPTICEMIA,HOSPITAL,"< 9",F,17
PA,SEPTICEMIA,HOSPITAL,"< 9",M,18
PA,SRAG,HOSPITAL,"< 9",M,3
PB,OUTRAS,DOMICILIO,"< 9",F,9
PB,OUTRAS,DOMICILIO,"< 9",M,7
PB,OUTRAS,HOSPITAL,"< 9",F,46
PB,OUTRAS,HOSPITAL,"< 9",I,1
PB,OUTRAS,HOSPITAL,"< 9",M,37
PB,OUTRAS,OUTRO,"< 9",F,1
PB,OUTRAS,OUTRO,"< 9",M,2
PB,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,6
PB,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",I,1
PB,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,10
PB,COVID,HOSPITAL,"< 9",M,4
PB,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PB,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
PB,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,6
PB,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,6
PB,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PB,PNEUMONIA,HOSPITAL,"< 9",F,4
PB,PNEUMONIA,HOSPITAL,"< 9",M,10
PB,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PB,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
PB,SEPTICEMIA,HOSPITAL,"< 9",F,18
PB,SEPTICEMIA,HOSPITAL,"< 9",M,26
PB,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
PB,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
PB,SRAG,HOSPITAL,"< 9",M,1
PE,OUTRAS,DOMICILIO,"< 9",F,7
PE,OUTRAS,DOMICILIO,"< 9",M,8
PE,OUTRAS,HOSPITAL,"< 9",F,188
PE,OUTRAS,HOSPITAL,"< 9",I,6
PE,OUTRAS,HOSPITAL,"< 9",M,199
PE,OUTRAS,IGNORADO,"< 9",F,1
PE,OUTRAS,OUTRO,"< 9",M,2
PE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,1
PE,OUTRAS,VIA_PUBLICA,"< 9",F,2
PE,OUTRAS,VIA_PUBLICA,"< 9",M,5
PE,COVID,HOSPITAL,"< 9",F,8
PE,COVID,HOSPITAL,"< 9",M,6
PE,INDETERMINADA,DOMICILIO,"< 9",F,1
PE,INDETERMINADA,DOMICILIO,"< 9",M,1
PE,INDETERMINADA,HOSPITAL,"< 9",F,2
PE,INDETERMINADA,HOSPITAL,"< 9",M,4
PE,INDETERMINADA,OUTRO,"< 9",F,1
PE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
PE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,16
PE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,17
PE,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
PE,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
PE,PNEUMONIA,HOSPITAL,"< 9",F,4
PE,PNEUMONIA,HOSPITAL,"< 9",M,8
PE,SEPTICEMIA,HOSPITAL,"< 9",F,44
PE,SEPTICEMIA,HOSPITAL,"< 9",I,1
PE,SEPTICEMIA,HOSPITAL,"< 9",M,52
PE,SEPTICEMIA,VIA_PUBLICA,"< 9",F,1
PE,SRAG,HOSPITAL,"< 9",F,5
PE,SRAG,HOSPITAL,"< 9",M,4
PE,SRAG,VIA_PUBLICA,"< 9",M,1
PI,OUTRAS,HOSPITAL,"< 9",F,11
PI,OUTRAS,HOSPITAL,"< 9",M,4
PI,OUTRAS,IGNORADO,"< 9",F,1
PI,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PI,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,1
PI,OUTRAS,VIA_PUBLICA,"< 9",F,1
PI,COVID,HOSPITAL,"< 9",F,2
PI,COVID,OUTRO,"< 9",F,1
PI,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,2
PI,PNEUMONIA,HOSPITAL,"< 9",F,2
PI,PNEUMONIA,HOSPITAL,"< 9",M,1
PI,SEPTICEMIA,DOMICILIO,"< 9",M,1
PI,SEPTICEMIA,HOSPITAL,"< 9",F,4
PI,SEPTICEMIA,HOSPITAL,"< 9",M,7
PI,SEPTICEMIA,OUTRO,"< 9",M,1
PR,OUTRAS,DOMICILIO,"< 9",F,2
PR,OUTRAS,DOMICILIO,"< 9",M,6
PR,OUTRAS,HOSPITAL,"< 9",F,58
PR,OUTRAS,HOSPITAL,"< 9",M,111
PR,OUTRAS,OUTRO,"< 9",M,1
PR,COVID,HOSPITAL,"< 9",F,9
PR,COVID,HOSPITAL,"< 9",M,9
PR,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,11
PR,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,17
PR,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
PR,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
PR,PNEUMONIA,HOSPITAL,"< 9",F,7
PR,PNEUMONIA,HOSPITAL,"< 9",M,9
PR,SEPTICEMIA,HOSPITAL,"< 9",F,38
PR,SEPTICEMIA,HOSPITAL,"< 9",I,1
PR,SEPTICEMIA,HOSPITAL,"< 9",M,41
PR,SEPTICEMIA,OUTRO,"< 9",F,1
PR,SEPTICEMIA,OUTRO,"< 9",M,1
RJ,OUTRAS,DOMICILIO,"< 9",F,6
RJ,OUTRAS,DOMICILIO,"< 9",M,6
RJ,OUTRAS,HOSPITAL,"< 9",F,265
RJ,OUTRAS,HOSPITAL,"< 9",I,9
RJ,OUTRAS,HOSPITAL,"< 9",M,282
RJ,OUTRAS,IGNORADO,"< 9",F,1
RJ,OUTRAS,IGNORADO,"< 9",M,1
RJ,OUTRAS,OUTRO,"< 9",F,1
RJ,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,6
RJ,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,11
RJ,OUTRAS,VIA_PUBLICA,"< 9",M,2
RJ,COVID,HOSPITAL,"< 9",F,5
RJ,COVID,HOSPITAL,"< 9",M,12
RJ,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,1
RJ,COVID,OUTROS_SERVICOS_SAUDE,"< 9",M,1
RJ,INDETERMINADA,DOMICILIO,"< 9",F,1
RJ,INDETERMINADA,HOSPITAL,"< 9",F,3
RJ,INDETERMINADA,HOSPITAL,"< 9",M,1
RJ,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
RJ,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
RJ,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,20
RJ,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
RJ,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,11
RJ,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
RJ,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
RJ,PNEUMONIA,DOMICILIO,"< 9",M,1
RJ,PNEUMONIA,HOSPITAL,"< 9",F,23
RJ,PNEUMONIA,HOSPITAL,"< 9",M,19
RJ,PNEUMONIA,OUTRO,"< 9",F,1
RJ,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,5
RJ,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,6
RJ,SEPTICEMIA,HOSPITAL,"< 9",F,89
RJ,SEPTICEMIA,HOSPITAL,"< 9",M,137
RJ,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
